LA code,LA name,year,Count of outlets
E09000002,Barking and Dagenham,2013,198
E09000002,Barking and Dagenham,2014,194
E09000002,Barking and Dagenham,2015,197
E09000002,Barking and Dagenham,2016,190
E09000002,Barking and Dagenham,2017,182
E09000002,Barking and Dagenham,2018,178
E09000003,Barnet,2013,283
E09000003,Barnet,2014,278
E09000003,Barnet,2015,283
E09000003,Barnet,2016,275
E09000003,Barnet,2017,262
E09000003,Barnet,2018,257
E09000004,Bexley,2013,199
E09000004,Bexley,2014,196
E09000004,Bexley,2015,200
E09000004,Bexley,2016,197
E09000004,Bexley,2017,206
E09000004,Bexley,2018,207
E09000005,Brent,2013,308
E09000005,Brent,2014,304
E09000005,Brent,2015,311
E09000005,Brent,2016,317
E09000005,Brent,2017,326
E09000005,Brent,2018,322
E09000006,Bromley,2013,253
E09000006,Bromley,2014,255
E09000006,Bromley,2015,254
E09000006,Bromley,2016,263
E09000006,Bromley,2017,261
E09000006,Bromley,2018,263
E09000007,Camden,2013,335
E09000007,Camden,2014,330
E09000007,Camden,2015,365
E09000007,Camden,2016,399
E09000007,Camden,2017,434
E09000007,Camden,2018,421
E09000008,Croydon,2013,414
E09000008,Croydon,2014,424
E09000008,Croydon,2015,414
E09000008,Croydon,2016,404
E09000008,Croydon,2017,394
E09000008,Croydon,2018,399
E09000009,Ealing,2013,292
E09000009,Ealing,2014,286
E09000009,Ealing,2015,280
E09000009,Ealing,2016,275
E09000009,Ealing,2017,269
E09000009,Ealing,2018,272
E09000010,Enfield,2013,266
E09000010,Enfield,2014,266
E09000010,Enfield,2015,266
E09000010,Enfield,2016,266
E09000010,Enfield,2017,266
E09000010,Enfield,2018,270
E09000011,Greenwich,2013,233
E09000011,Greenwich,2014,231
E09000011,Greenwich,2015,237
E09000011,Greenwich,2016,243
E09000011,Greenwich,2017,249
E09000011,Greenwich,2018,245
E09000012,Hackney,2013,294
E09000012,Hackney,2014,290
E09000012,Hackney,2015,300
E09000012,Hackney,2016,288
E09000012,Hackney,2017,278
E09000012,Hackney,2018,274
E09000013,Hammersmith and Fulham,2013,190
E09000013,Hammersmith and Fulham,2014,196
E09000013,Hammersmith and Fulham,2015,185
E09000013,Hammersmith and Fulham,2016,174
E09000013,Hammersmith and Fulham,2017,163
E09000013,Hammersmith and Fulham,2018,152
E09000014,Haringey,2013,260
E09000014,Haringey,2014,255
E09000014,Haringey,2015,240
E09000014,Haringey,2016,225
E09000014,Haringey,2017,210
E09000014,Haringey,2018,195
E09000015,Harrow,2013,210
E09000015,Harrow,2014,201
E09000015,Harrow,2015,202
E09000015,Harrow,2016,183
E09000015,Harrow,2017,174
E09000015,Harrow,2018,177
E09000016,Havering,2013,233
E09000016,Havering,2014,236
E09000016,Havering,2015,239
E09000016,Havering,2016,243
E09000016,Havering,2017,246
E09000016,Havering,2018,242
E09000017,Hillingdon,2013,254
E09000017,Hillingdon,2014,256
E09000017,Hillingdon,2015,258
E09000017,Hillingdon,2016,263
E09000017,Hillingdon,2017,261
E09000017,Hillingdon,2018,263
E09000018,Hounslow,2013,187
E09000018,Hounslow,2014,184
E09000018,Hounslow,2015,190
E09000018,Hounslow,2016,195
E09000018,Hounslow,2017,201
E09000018,Hounslow,2018,198
E09000019,Islington,2013,288
E09000019,Islington,2014,295
E09000019,Islington,2015,279
E09000019,Islington,2016,277
E09000019,Islington,2017,248
E09000019,Islington,2018,232
E09000020,Kensington and Chelsea,2013,97
E09000020,Kensington and Chelsea,2014,100
E09000020,Kensington and Chelsea,2015,95
E09000020,Kensington and Chelsea,2016,103
E09000020,Kensington and Chelsea,2017,110
E09000020,Kensington and Chelsea,2018,113
E09000021,Kingston upon Thames,2013,135
E09000021,Kingston upon Thames,2014,136
E09000021,Kingston upon Thames,2015,137
E09000021,Kingston upon Thames,2016,136
E09000021,Kingston upon Thames,2017,140
E09000021,Kingston upon Thames,2018,139
E09000022,Lambeth,2013,296
E09000022,Lambeth,2014,313
E09000022,Lambeth,2015,317
E09000022,Lambeth,2016,347
E09000022,Lambeth,2017,364
E09000022,Lambeth,2018,356
E09000023,Lewisham,2013,354
E09000023,Lewisham,2014,345
E09000023,Lewisham,2015,336
E09000023,Lewisham,2016,327
E09000023,Lewisham,2017,323
E09000023,Lewisham,2018,309
E09000024,Merton,2013,158
E09000024,Merton,2014,167
E09000024,Merton,2015,160
E09000024,Merton,2016,184
E09000024,Merton,2017,193
E09000024,Merton,2018,190
E09000025,Newham,2013,356
E09000025,Newham,2014,364
E09000025,Newham,2015,360
E09000025,Newham,2016,328
E09000025,Newham,2017,310
E09000025,Newham,2018,292
E09000026,Redbridge,2013,222
E09000026,Redbridge,2014,229
E09000026,Redbridge,2015,220
E09000026,Redbridge,2016,210
E09000026,Redbridge,2017,201
E09000026,Redbridge,2018,192
E09000027,Richmond upon Thames,2013,122
E09000027,Richmond upon Thames,2014,123
E09000027,Richmond upon Thames,2015,124
E09000027,Richmond upon Thames,2016,124
E09000027,Richmond upon Thames,2017,125
E09000027,Richmond upon Thames,2018,124
E09000028,Southwark,2013,343
E09000028,Southwark,2014,339
E09000028,Southwark,2015,335
E09000028,Southwark,2016,331
E09000028,Southwark,2017,311
E09000028,Southwark,2018,323
E09000029,Sutton,2013,180
E09000029,Sutton,2014,179
E09000029,Sutton,2015,180
E09000029,Sutton,2016,180
E09000029,Sutton,2017,181
E09000029,Sutton,2018,182
E09000030,Tower Hamlets,2013,338
E09000030,Tower Hamlets,2014,354
E09000030,Tower Hamlets,2015,370
E09000030,Tower Hamlets,2016,382
E09000030,Tower Hamlets,2017,402
E09000030,Tower Hamlets,2018,393
E09000031,Waltham Forest,2013,303
E09000031,Waltham Forest,2014,297
E09000031,Waltham Forest,2015,310
E09000031,Waltham Forest,2016,284
E09000031,Waltham Forest,2017,278
E09000031,Waltham Forest,2018,272
E09000032,Wandsworth,2013,317
E09000032,Wandsworth,2014,306
E09000032,Wandsworth,2015,295
E09000032,Wandsworth,2016,285
E09000032,Wandsworth,2017,274
E09000032,Wandsworth,2018,263
E09000033,Westminster,2013,522
E09000033,Westminster,2014,464
E09000033,Westminster,2015,416
E09000033,Westminster,2016,361
E09000033,Westminster,2017,291
E09000033,Westminster,2018,320
